Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,class_code
2,7438373,1021 Development Corporation,,Trinity Place Condominium,1245,Asturias,St,1052310928349023
2,7331222,1222 Chestnut Place,,Chestnut Place,1222,Castanos,St,105460
2,3725983,1st Enterprises Incorporated,,,200,Roosevelt,Ave,104717
2,7274023,24/7 Laundry Works,,,187,N Domingo,St,106618
2,7411594,2m Contractors & Industrial Supply Corp,,,5,Dapitan,St,104755
2,6712102,3 Sun Traders Corporation,,,,Pasig Extension,Bvd,104491
2,9529205,357 Security & Investigation Services,,Crissant Condominium Building,270,Commonwealth,Ave,108002
2,5332509,651 Laundry Shop,,,651A,Boni,Ave,106618
2,8347328,8th Avenue,,,3727,Bautista,St,106412
2,7146812,A a Tanco Corporation,,,201,Dalisay,St,108127
2,2412677,A and S Lamps,,,348,Q Paredes,St,106599
2,9260175,A C B Lumber and Hardware,,,26,Congressional,Ave,107698
2,7416366,A C T Commercial,,,914,T Mapua,St,106130
2,5511076,A G C Print,,,2357,Marconi,St,107844
2,7241457,A H Hardware 2000,,,100,F Blumentritt,St,106130
2,7148881,A M a Computer College,,,3299,Pres R Magsaysay,Bvd,107961
2,8911338,A M Sison Jr and Associates,,Security Bank Centre,6776,Ayala,Ave,111176.1
2,2429301,A R C Hardware,,,209,San Nicolas,St,106130
2,8526647,A R Nicolas MacHine Shop,,,2252B,Aurora,Bvd,107035
2,7152206,A S C Enterprises Incorporated,,,720,D Santiago,St,106240
2,8340872,A Soriano Foundation,,Soriano Aviation Hangar,,Andrew,Ave,110177
2,7416979,A Y G Marketing,,,1337,C M Recto,Ave,106130
2,2922887,A-1 General Protective Agency,,,2395,Gen D Mc Arthur,Hwy,108002
2,8381305,A-Aallan-Angel Tent & Canvas Awning Products,,,,Libra,St,104920
2,4750183,A1 Driving Co Inc,,,49,Bayan-Bayanan,Ave,105483
2,7165418,A1 Plumbing Service,,,34,R Roxas,St,107749
2,9111345,A2 Interiors,,Ali Mall,,Gen Romulo,Ave,105944
2,6816711,Aa Dodge Pest Control Services,,,27,Martilyo,St,107645
2,8318424,Abad Steel Manufacturing,,,183,Villaruel,St,108212
2,6360753,Abano Pamfilo Paras Pineda & Agustin Law Office,,Philippine Stock Exch Ea Twr,,Exchange,Rd,111176.1
2,8898715,Abba Insurance Brokers,,Amber Place,19,Bayani,Rd,106290
2,8094659,Abc Laboratories,,Richville Corporate Tower,1107,Alabang-Zapote,Rd,106585
2,9127882,Abcco Site MacHining Inc,,,378,P Tuazon,Bvd,105628
2,9285707,Abccop Alliance of Bible Chruch,,,102,Sct Rallos,St,105047
2,8876041,Abd Overseas Manpower Corp,,,2310,Marconi,St,107070
2,8967475,Aberdeen Court,,,7842,J P Rizal,St,106969786487632846
2,7712001,Abesamis Dental Clinic,,Festival Supermall,,Corporate,Ave,105383
2,6830284,Abesamis Villarin Law Office,,Medical Plaza,,San Miguel,Ave,111176.1
2,5212081,Abetria Cm,Raul C,Marian Center Building,959,San Marcelino,St,105047
2,8174060,Able Printing Co Inc,,,7608,Dela Rosa,St,107844
2,7348898,Abuid,Wilijado P,,938,Arlegui,St,106973
2,3305364,Ac Industries,,,39,Marikit,St,107725
2,7254141,Ac Mfg,,,107,Corta,St,105976
2,8153109,Acaban & Associates,,Raha Sulayman Building,,Benavidez,St,111176.1
2,7267481,Accent Lights and Accessories,,,319,Santolan,Rd,106659
2,7129215,Accord Insurance Agency,,Ipo Building,14,Quezon,Ave,106286.1
