Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,Product,class_code
2,4411091,1 Document Corporation,,Lra Building,,East,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,6963927,100x Corp.,,Strata 2000,,F Ortigas Jr,Rd,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,8626795,1174 Internet Cafe,,Cva Building,,National,Rd,,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,6327683,123 Pioneer Studios,,,123,Pioneer,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,7117345/7117343,128 Dream Fountain Corporation,,,7,Agno,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,7066106,128 Tech Consulting Inc,,Aic Burgundy Empire Tower,,Adb,Ave,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,7142286/7141849,168 Transport Corporation,,Le Mirage,2126,A Mabini,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,8560279/8560210,18 2 Property Holdings Inc,,Net Square,,28th,St,Bonifacio Global City,Taguig City,Metro Manila,MLABUS2016_MLABUSWP,
2,8699284,18 Folds Ph Corporation,,Karrivin Plaza Building B,2316,Chino Roces,Ave,Kayamanan C,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8933924/8933923,1cci:security Brokers Corporation,,Pcci Corporate Center,118,L P Leviste,St,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8933922,1cci:security Brokers Corporation,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8112292/8934341,1cci:security Brokers Corporation,,Tower One and Exchange Plaza,6767,Ayala,Ave,Salcedo Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8402150/8401953,1cci:security Brokers Corporation,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,6891234/6891000,"1isa, Inc.",,Strata 100,,F Ortigas Jr,Rd,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,8014350,1st Edgecom Cellular Phones Accessories Center,,Sm South Mall,,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,MLABUS2016_MLABUSWP,
2,3614262,1st Force Gaming & Internet Cafe,,,28,L Bustamante,St,,Caloocan City,Metro Manila,MLABUS2016_MLABUSWP,
2,6381981/6381982,1st Northern Int'l Placement Inc,,Cityland Pioneer Condominium,,Pioneer,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,6381984,1st Northern Int'l Placement Inc,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,6320626,2 Log Holdings Incorporated,,Robinsons Equitable Tower,,Adb,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,6313911/6387716,211 Promoworks Marketing Inc,,Bldg A,123,Pioneer,St,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,6387429,211 Promoworks Marketing Inc,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,8326294,212 Degrees Event Management Inc,,Cityland Condominium 3,105,V a Rufino,St,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,2940507/2940155,"24k Accounts Consultant, Inc.",,Fass Building,11,Pittsburgh,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,2940471/2942266,"24k Accounts Consultant, Inc.",,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,2943383,"24k Accounts Consultant, Inc.",,,,,,,,,MLABUS2016_MLABUSWP,
2,9423168,24k Pheonix Empire Gasoline Station,,,817,J P Rizal,St,Marikina Greenheights Subd,Mkna,Metro Manila,MLABUS2016_MLABUSWP,
2,8065043,"2go Express, Inc.",,Sm South Mall,,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,MLABUS2016_MLABUSWP,
2,7160784,"2go Express, Inc.",,Sm City Sta Mesa Annex Bldg,6,Aurora,Bvd,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8540857/8541896,"2go Express, Inc.",,Asia Industries Building,124,Domestic,Rd,,PC,Metro Manila,MLABUS2016_MLABUSWP,
2,5254442,"2go Express, Inc.",,Times Plaza Building,,United Nations,Ave,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,8329916/8540854,"2go Express, Inc.",,Sycamore Arcade Building 1,,Buencamino,St,,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,8540722/8540859,"2go Express, Inc.",,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5254169/8514078,"2go Express, Inc.",,,,,,,,,MLABUS2016_MLABUSWP,
2,8540723,"2go Express, Inc.",,,,,,,,,MLABUS2016_MLABUSWP,
2,6341737/8540855,"2go Express, Inc.",,Sm Megamall B,,Edsa,Ave,,Mand,Metro Manila,MLABUS2016_MLABUSWP,
2,5169167,"2go Group, Inc.",,,,Marcos,Rd,North Harbor,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,4000612,"2go Group, Inc.",,Times Plaza Building,,Taft,Ave,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,8900484,2link Corporation,,,2733,Zenaida,St,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,5514820/5514847,2m Technologies & Equipment Supplies Inc,,Diplomat Condominium,,Russel,Ave,,PC,Metro Manila,MLABUS2016_MLABUSWP,
2,5515770,2m Technologies & Equipment Supplies Inc,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,9281009,317 K Properties,,Oracle Bldg,317,Katipunan,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8003845,318 Interiors and Furnishings Incorporated,,,318,Alabang-Zapote,Rd,,Las Pinas City,Metro Manila,MLABUS2016_MLABUSWP,
2,6380333,333 Foods Inc.,,Annapolis Tower,43,Annapolis,St,,San Juan City,Metro Manila,MLABUS2016_MLABUSWP,
2,8465069,360Training.com Inc.,,Net Square,,28th,St,Bonifacio Global City,Taguig City,Metro Manila,MLABUS2016_MLABUSWP,
