,Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,class_code,class_desc
0,,7063050,,,Sm Megamall A,,Edsa,Ave,,Mandaluyong City,Metro Manila,,
1,,3983090,"""K"" Line Logistics (Phils.), Inc.",,Oyster Complex Building,,Ninoy Aquino,Ave,,Paranaque City,Metro Manila,,
2,,8251854,"""K"" Line Logistics (Phils.), Inc.",,,,Ninoy Aquino,Ave,,Paranaque City,Metro Manila,,
3,,5562917,"""K"" Line Maritime Training Corporation",,K-Line Building,,Coralway,Drv,CENTRAL BUSINESS PARK 1,PC,Metro Manila,,
4,,6318181,(Bank of the Phil Islands),,Mayflower Plaza Building,,United,St,,Mandaluyong City,Metro Manila,,
5,,2563748,(Lbc) Emt Forwarding Servicesinc,,TUTUBAN CENTER MALL 1,,C M Recto,Ave,Tutuban Center,Manila City,Metro Manila,,
6,,8911380/8932572,(Security Bank and Trust Company),,Security Bank Centre,6776,Ayala,Ave,Legaspi Village,Makati City,Metro Manila,,
8,,8911377/8911378,(Security Bank and Trust Company),,,,,,,Or Call:,,,
10,,8187677/8911376,(Security Bank and Trust Company),,,,,,,,,,
12,,8911374/8911371,(Security Bank and Trust Company),,,,,,,,,,
14,,8676788/8911367,(Security Bank and Trust Company),,,,,,,,,,
16,,8937943,(Security Bank and Trust Company),,,,,,,,,,
17,,8922228,(Security Bank Corporation),,Medical Plaza Makati,,Amorsolo,St,Legaspi Village,Makati City,Metro Manila,,
18,,8508483,(Standard Chartered),,Molito Building,,Madrigal,Ave,Ayala Alabang Village,Muntinlupa City,Metro Manila,,
19,,4411091,1 DOCUMENT CORPORATION,,Lra Building,,East,Ave,,QC,Metro Manila,,
20,,6963927,100X CORP.,,STRATA 2000,,F Ortigas Jr,Rd,Ortigas Center,Pasig City,Metro Manila,,
21,,8626795,1174 INTERNET CAFE,,Cva Building,,National,Rd,,Muntinlupa City,Metro Manila,,
22,,6327683,123 PIONEER STUDIOS,,,123,Pioneer,St,,Mandaluyong City,Metro Manila,,
23,,7117345/7117343,128 DREAM FOUNTAIN CORPORATION,,,7,Agno,St,,QC,Metro Manila,,
25,,7066106,128 TECH CONSULTING INC,,Aic Burgundy Empire Tower,,Adb,Ave,Ortigas Center,,Metro Manila,,
26,,7141849/7142286,168 TRANSPORT CORPORATION,,Le Mirage,2126,A Mabini,St,,Manila City,Metro Manila,,
28,,8560279/8560210,18 2 PROPERTY HOLDINGS INC,,Net Square,,28TH,St,Bonifacio Global City,,Metro Manila,,
30,,8699284,18 FOLDS PH CORPORATION,,Karrivin Plaza Building B,2316,Chino Roces,Ave,Kayamanan C,,Metro Manila,,
31,,8933924/8933923,1CCI:SECURITY BROKERS CORPORATION,,Pcci Corporate Center,118,L P Leviste,St,Salcedo Village,Makati City,Metro Manila,,
33,,8933922,1CCI:SECURITY BROKERS CORPORATION,,,,,,,Or Call:,,,
34,,8112292/8934341,1CCI:SECURITY BROKERS CORPORATION,,Tower One and Exchange Plaza,6767,Ayala,Ave,Salcedo Village,Makati City,Metro Manila,,
36,,8402150/8401953,1CCI:SECURITY BROKERS CORPORATION,,,,,,,Or Call:,,,
38,,6891234/6891000,"1ISA, INC.",,STRATA 100,,F Ortigas Jr,Rd,Ortigas Center,,Metro Manila,,
40,,8014350,1ST EDGECOM CELLULAR PHONES ACCESSORIES CENTER,,Sm South Mall,,Alabang-Zapote,Rd,,,Metro Manila,,
41,,3614262,1ST FORCE GAMING & INTERNET CAFE,,,28,L Bustamante,St,,Caloocan City,Metro Manila,,
42,,6381982/6381984,1ST NORTHERN INT'L PLACEMENT INC,,Cityland Pioneer Condominium,,Pioneer,St,,Mandaluyong City,Metro Manila,,
44,,6381981,1ST NORTHERN INT'L PLACEMENT INC,,,,,,,Or Call:,,,
45,,6320626,2 LOG HOLDINGS INCORPORATED,,Robinsons Equitable Tower,,Adb,Ave,,QC,Metro Manila,,
46,,6313911,211 PROMOWORKS MARKETING INC,,Bldg A,123,Pioneer,St,,Mandaluyong City,Metro Manila,,
47,,6387429/6387716,211 PROMOWORKS MARKETING INC,,,123,Pioneer,St,,Mandaluyong City,Metro Manila,,
