,Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,class_code,class_desc
0,,8967916,(Department of Trade and Industrybsmbd),,Dti Building,361,Sen Gil Puyat,Ave,,Makati City,Metro Manila,,
1,,8975554,(Department of Trade and Industrycic),,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
2,,8908907,(Department of Trade and Industryipr),,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
3,,8904951,(Department of Trade and Industryoop),,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
4,,8971719,(Department of Trade and Industryticci),,Lc Building,375,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
5,,8904857,(Dept of Trade & Industryhrds),,Dti Building,,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
6,,8905123,(Dept of Trade & Industryofcof Special Concern),,Board of Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
7,,8959460,(Dept of Trade & Industryopr),,Dti Building,361,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
8,,8967889/8971243,(Dept of Trade & Industryopr),,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
10,,8953995/8958133,(Dept of Trade & Industrypro),,Industry & Investment Building,385,Sen Gil Puyat,Ave,Bel-Air Village,,Metro Manila,,
12,,8904517/8953558,(Dept of Trade & Industrypro),,,,,,,Or Call:,,,
14,,8904747,(Dept of Trade and Industryftsc),,New Solid Building,357,Sen Gil Puyat,Ave,Bel-Air Village,,Metro Manila,,
15,,8901302,(Dept of Trade and Industryncac),,Dti Building,,Sen Gil Puyat,Ave,Bel-Air Village,Makati City,Metro Manila,,
16,,3747268,(Rp) Dept of Budget and Department,,Ben-Lor Annex Building,1184,Quezon,Ave,,QC,Metro Manila,,
17,,7361230/7361234,(Rp) Dept of Budget and Department,,DBM BUILDING 1,755,Gen Solano,St,San Miguel Village,Manila City,Metro Manila,,
19,,7361284/7361285,(Rp) Dept of Budget and Department,,,,,,,Or Call:,,,
21,,3747270/3747269,(Rp) Dept of Budget and Department,,,,,,,,,,
23,,9261065,(Rp) Housing and Land Use Regulatory Board,,Sunnymede Building,1614,Quezon,Ave,,,Metro Manila,,
24,,6310960/6310951,(Rp) Neda,,8137 PLAZA,,St Josemaria Escriva,Drv,Ortigas Center,Pasig City,Metro Manila,,
26,,6310952/6310953,(Rp) Neda,,,,,,,Or Call:,,,
28,,6310954/6310955,(Rp) Neda,,,,,,,,,,
30,,6310956/6310957,(Rp) Neda,,,,,,,,,,
32,,6310958/6310959,(Rp) Neda,,,,,,,,,,
34,,6310961/6310962,(Rp) Neda,,,,,,,,,,
36,,6310963/6310964,(Rp) Neda,,,,,,,,,,
38,,6310965/6310966,(Rp) Neda,,,,,,,,,,
40,,6310967/6310968,(Rp) Neda,,,,,,,,,,
42,,6310950/6310949,(Rp) Neda,,,,,,,,,,
44,,6310948/6310946,(Rp) Neda,,,,,,,,,,
46,,6310945/6310947,(Rp) Neda,,,,,,,,,,
48,,5278327/5270151,(Rp) Philippine Postal Corporationmain,,Bureau of Post Building,,Liwasang Bonifacio,St,,,Metro Manila,,
50,,5279601/5270133,(Rp) Philippine Postal Corporationmain,,,,,,,Or Call:,,,
